UserID,Country,Language,RegDate,FirstPay,FirstAct,FirstSp,FirstCa,FirstGa,FirstPo,ApplicationID,Gender
1324354,276,2,2/1/2005,20050224,20050224,20050224,NULL,NULL,NULL,3,1
1324355,300,8,2/1/2005,20050201,20050201,20050201,NULL,NULL,20050611,1,1
1324356,276,2,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,3,1
1324358,752,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324360,792,7,2/1/2005,20050202,20050202,20050202,20050203,NULL,NULL,9,1
1324362,276,2,2/1/2005,20050211,20050211,20050211,NULL,NULL,NULL,3,1
1324363,208,11,2/1/2005,20050201,20050201,20050201,20050201,NULL,NULL,1,1
1324364,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324368,620,16,2/1/2005,20050318,20050318,20050318,20050821,20050821,20050405,1,1
1324369,792,7,2/1/2005,20050201,20050201,20050201,20050301,20050215,NULL,9,1
1324371,792,7,2/1/2005,20050201,20050201,NULL,NULL,NULL,20050201,9,1
1324372,616,9,2/1/2005,20050304,20050304,20050304,20050917,20050901,20050902,1,1
1324377,208,11,2/1/2005,20050201,20050201,20050201,20050404,NULL,20050201,1,1
1324378,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324379,300,8,2/1/2005,20050312,20050312,20050312,20050423,20050419,NULL,1,1
1324383,578,10,2/1/2005,20050203,20050203,20050512,20050605,20050609,20050203,15,1
1324385,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324386,756,1,2/1/2005,20050209,20050209,20050209,20050210,20050923,NULL,1,1
1324391,208,11,2/1/2005,20050201,20050201,NULL,NULL,NULL,20050201,1,1
1324393,826,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324396,276,2,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,3,1
1324400,276,1,2/1/2005,20050201,20050201,20050201,20050218,NULL,NULL,15,1
1324402,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,0
1324403,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324404,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324405,724,4,2/1/2005,20050218,20050220,20050220,20050730,20050222,NULL,1,1
1324408,250,6,2/1/2005,20050208,20050208,20050208,20050209,20050226,NULL,1,1
1324411,276,2,2/1/2005,20050204,20050216,20050216,NULL,NULL,NULL,1,0
1324413,300,8,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,14,1
1324416,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324418,792,7,2/1/2005,20050204,20050204,20050204,NULL,20050215,NULL,9,1
1324419,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324420,250,6,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324421,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324424,276,2,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,3,1
1324427,300,8,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,1,0
1324429,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324432,792,7,2/1/2005,20050201,20050201,20050201,20050201,20050201,NULL,9,1
1324433,792,7,2/1/2005,20050204,20050205,20050205,NULL,NULL,NULL,9,1
1324434,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324437,792,7,2/1/2005,20050202,20050202,20050202,NULL,20050204,20050919,9,1
1324438,203,1,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,1,1
1324441,276,2,2/1/2005,20050309,20050311,20050311,NULL,NULL,NULL,3,0
1324442,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324443,380,2,2/1/2005,20050207,20050213,20050213,NULL,NULL,NULL,1,1
1324444,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324445,208,11,2/1/2005,20050206,20050206,NULL,NULL,NULL,20050206,23,1
1324446,792,7,2/1/2005,20050203,20050203,20050203,NULL,NULL,20050203,9,1
1324448,36,1,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,1,0
1324449,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
